timestamp,gx,gy,gz,magnitude
20890.5167173,23.542028040430388,7.847342680143463,-10.463123573524618,26.931112608112915
20890.5968624,-418.52494294098466,2328.0449951092273,290.3516791653081,2383.1199560053606
20890.6136511,-498.74222367134007,2094.368568633844,25.28588196935116,2153.082182077818
20890.6308012,-661.792566025432,1840.6378219758722,-54.93139876100424,1956.7663250128894
20890.6424624,-1048.0562112813825,1491.8670361917184,-111.60665145092925,1826.6212306685359
20890.6596701,-1048.0562112813825,1382.0042386697098,152.58721878056733,1741.1606465348677
20890.6712239,-701.9012063906097,1584.291294424519,419.39686990544504,1782.8454626266396
20890.6879961,-524.9000326051516,1621.7841538963157,475.2001956309097,1769.6098756465315
20890.7047141,-571.9840886860125,1397.6989240299968,484.7913922399739,1586.111841559274
20890.7212524,-469.096706879687,1108.219171829149,469.9686338441474,1291.9256828519149
20890.7325626,-136.89253342028042,680.9749592435605,434.2196283012716,819.1539210826535
20890.749723,93.29618519726117,272.91313987610044,464.7370720573851,546.9609732274002
20890.7610417,267.68157808933813,15.694685360286925,589.42262797522,647.5482875941929
20890.7782868,561.5209651124878,-61.03488751222693,674.8714704923378,880.0469041130594
20890.7947627,764.6799478317574,-270.2973589827193,727.1870883599609,1089.310399457588
20890.8107107,929.4741441147702,-599.0138245842843,705.3889142484512,1311.6071313337638
20890.821928,954.7600260841214,-947.7846103684383,636.5066840560809,1488.2886594701552
20890.8386883,993.9967394848386,-1509.305575480926,442.93889794587545,1860.7062383938542
20890.8549074,571.1121617215521,-2432.6762308444736,263.3219432670362,2512.652222490782
20890.8712509,-181.36080860776002,-3650.758200195631,88.06462341049885,3656.32090455569
20890.8825294,-20.05432018258885,-4602.902445386371,199.67127486142812,4607.2748686730865
20890.8991108,-115.09435930877079,-5417.282230192371,451.6581675904793,5437.296071895838
20890.9159182,-205.77476361265082,-6210.735767851321,599.8857515487447,6243.031711141533
20890.9269837,-333.076100423867,-6835.035474404956,869.3111835670036,6898.141166932032
20890.9436332,-962.6073687642647,-7154.160743397457,1041.0807955656994,7293.317359861987
20890.9604471,-1756.0609064232149,-7170.727355722204,995.7405934137594,7449.468440536054
20890.9711686,-1797.9134007173134,-6100.872970329312,1108.219171829149,6456.1051206887405
20890.9877564,-2066.4669057711117,-5539.352005216824,1210.234626671014,6034.846639471497
20891.0049228,-2971.527094880991,-5768.668796869905,908.5478969677209,6552.325712651716
20891.0163401,-3592.339093576785,-5005.732702967069,552.801695467884,6186.1013385901015
20891.0333672,-2938.3938702314967,-3093.596869905445,1177.1014020215193,4426.066859045831
20891.049874,-1204.1311379197914,-916.3952396478644,2516.3812194326706,2936.304901414486
20891.0616313,-148.2275839582654,636.5066840560809,3138.065145092925,3205.3962360902046
20891.0782943,85.44884251711771,1310.5062275839582,2738.7225953700686,3037.322757234472
20891.0956522,-630.4031953048582,1275.6291490055428,2152.78767525269,2580.5295365802463
20891.107081,-1867.6675578741442,1127.4015650472775,1814.4800130420606,2837.5260550937214
20891.1245077,-2023.7424845125531,1484.8916204760353,1741.2381480273884,3054.88904157366
20891.1361847,-1960.9637430714054,2090.008933811542,1852.8447994783176,3412.7042057591984
20891.1526469,-1801.401108575155,2557.3617867623084,2001.072383436583,3713.4129781267893
20891.1696016,-1684.5628953374633,3017.7392239973915,2026.3582654059342,4006.3237502951583
20891.1812056,-1771.7555917835018,3420.5694815780894,1895.5692207368766,4293.31994218047
20891.1983575,-2130.9895011411804,3758.8771437887185,1623.5280078252365,4615.854940123677
20891.2155518,-2141.452624714705,3857.404890772742,1340.1517443756113,4611.008407410244
20891.2265021,-1940.037495924356,3683.0194978806653,1048.9281382458428,4292.857829763931
20891.2436686,-1826.686990544506,3200.843886534072,1201.5153570264101,3876.3160475582213
20891.2605913,-1987.121552005217,2758.7769155526576,1299.1711770459733,3639.6906296410516
20891.2718403,-1678.4594065862407,2806.7328985979784,1419.4970981415063,3565.101338708649
20891.288622,-1361.949918487121,3055.232083469188,1682.8190414085425,3744.493368995827
20891.3052021,-1337.5359634822303,3217.4104988588197,1594.7544179980437,3831.9674353391333
20891.3164525,-2295.783697424193,3168.582588849038,1308.7623736550374,4125.941996491363
20891.3332757,-3044.7689598956636,2995.941049885882,1417.7532442125855,4500.700507144499
20891.3502454,-3018.611150961852,2941.8815780893383,1770.8836648190415,4571.948102782399
20891.3615091,-2613.165112487773,2778.831235735246,2268.753961525921,4438.218052299894
20891.3781168,-1955.732181284643,2300.143332246495,2571.3126181936746,3965.752929050473
20891.3954576,-1651.4296706879688,1873.7710466253668,2682.0473426801436,3664.9168941161156
20891.4069715,-1773.4994457124226,1577.315878708836,2553.874078904467,3486.4736448264507
20891.4236227,-1736.8785132050864,1165.7663514835344,2152.78767525269,3001.7083353658168
20891.4402803,-1125.6577111183567,388.0074991848712,1133.5050537985003,1643.9248185396607
20891.4512021,-1123.913857189436,87.19269644603848,844.8972285621128,1408.7711849437815
20891.4678175,-700.157352461689,-714.9801108575155,435.091555265732,1091.201878018701
20891.4849698,-185.72044343006195,-1357.590283664819,9.591196609064232,1370.2683870181697
20891.4964827,310.40599934789697,-1632.2472774698404,-95.91196609064232,1664.2662540826348
20891.5139011,599.0138245842843,-1727.2873165960223,27.029735898271927,1828.40631226741
20891.5314338,376.6724486468862,-1841.5097489403327,23.542028040430388,1879.785763350756
20891.5427118,22.670101075970003,-1864.1798500163027,-36.62093250733616,1864.6773284907247
20891.5595594,115.96628627323118,-1941.7813498532769,-116.83821323769156,1948.7468173835707
20891.5764937,-356.61812846429734,-2573.0564721225956,32.261297685034236,2597.852361010856
20891.5877681,-675.7433974567982,-3445.8553635474404,-103.75930877078578,3513.0206830947795
20891.6039448,-721.9555265731985,-3728.3597000326054,-681.8468862080209,3858.34174372986
20891.620749,-880.6462341049886,-3612.393413759374,-1722.9276817737202,4097.975568745813
20891.6320045,-896.3409194652755,-3594.0829475057058,-2664.608803390936,4563.003325943082
20891.6485042,-716.7239647864362,-3587.9794587544834,-3471.1412455167915,5043.422586346614
20891.6649517,-336.56380828170853,-3359.5345940658626,-3889.6661884577766,5150.655389695763
20891.6762211,820.4832735572221,-2536.435539615259,-4010.86403651777,4815.986749176345
20891.6931872,872.7988914248451,-1756.0609064232149,-3652.5020541245517,4145.636147483813
20891.7100597,943.4249755461364,-700.157352461689,-3410.978284969025,3607.636880732403
20891.7215103,657.4329312031301,45.340202151940005,-3649.01434626671,3708.0425418570626
20891.7379989,896.3409194652755,558.0332572546463,-3836.4786436256927,3979.1200714612924
20891.7545181,548.442060645582,998.3563743071405,-3410.978284969025,3596.1475226323937
20891.77147,447.2985327681774,1419.4970981415063,-2621.884382132377,3014.8508590506426
20891.7824166,713.2362569285947,1990.6092598630585,-1908.6481252037822,2848.5380196679803
20891.7988525,292.96746005868926,2369.897489403326,-1572.0843169220736,2858.967146094157
20891.8159904,-192.69585914574503,2362.9220736876428,-1398.5708509944573,2752.5502439925754
20891.8271119,-544.0824258232801,2672.4561460710793,-1497.970524942941,3111.585324615197
20891.8433747,-224.08522986631888,2827.6591457450277,-1385.4919465275514,3156.811424309733
20891.8605413,-432.4757743723508,2670.7122921421587,-867.5673296380828,2841.1991331607755
20891.8713216,-593.782262797522,2451.858624062602,-565.0086729703294,2585.2316895270324
20891.8879264,-619.0681447668732,2499.814607107923,-356.61812846429734,2599.902868825029
20891.9042634,-550.1859145745028,2580.0318878382786,-30.517443756113465,2638.219171568568
20891.9210164,-151.71529181610694,2712.564786436257,674.8714704923378,2799.3707778837215
20891.9319355,26.15780893381154,2768.3681121617215,1259.0625366807956,3041.3458709385804
20891.9489707,-186.59237039452233,2571.3126181936746,1487.5074013694164,2976.4313468145456
20891.9654522,-301.6867297032931,2429.188522986632,1448.2706879686991,2844.1975579622404
20891.9764307,-284.24819041408546,2424.82888816433,1394.2112161721552,2811.4795190308932
20891.9935133,-581.5752852950766,2146.684186501467,1544.1826540593413,2707.5787852136946
20892.0100964,-875.4146723182263,1601.7298337137267,1834.5343332246496,2587.9346066890175
20892.0213276,-288.6078252363873,1233.7766547114445,1939.1655689598956,2316.433123217287
