timestamp,gx,gy,gz,magnitude
63054.7494061,-2.6157808933811544,-9.591196609064232,-0.8719269644603848,9.979660250091495
63054.7872591,23.542028040430388,7.847342680143463,-10.463123573524618,26.931112608112915
63054.8373795,-2.6157808933811544,-9.591196609064232,-0.8719269644603848,9.979660250091495
63054.8484915,-0.8719269644603848,-8.719269644603848,0.0,8.762757543528362
63054.8649007,13.950831431366156,-8.719269644603848,0.8719269644603848,16.474574877460636
63054.881611,586.8068470818389,-2.6157808933811544,49.69983697424193,588.9135691144135
63054.8937187,1299.1711770459733,-31.38937072057385,358.3619823932181,1348.055766756721
63054.9099531,2988.965634170199,-137.7644603847408,1164.0224975546137,3210.5829663176187
63054.9263633,59.29103358330617,144.73987610042386,1776.1152266058039,1782.9891633372115
63054.9373927,-160.4345614607108,183.97658950114118,1816.2238669709814,1832.5544381956533
63054.9538317,-1270.3975872187807,278.14470166286276,1870.2833387675253,2277.989085124383
63054.9703643,-2350.715096185197,212.75017932833387,1465.7092272579068,2778.3857977441126
63054.9815239,-1095.1402673622433,34.87707857841539,1355.8464297358983,1743.2349689115329
63054.9982057,585.0629931529181,5.231561786762309,1410.7778284969024,1527.291771919896
63055.0154445,78.47342680143463,26.15780893381154,1291.3238343658297,1293.9704613643414
63055.0271121,-1070.7263123573525,49.69983697424193,1205.8749918487122,1613.3999521928133
63055.0438135,-20.05432018258885,39.23671340071731,2708.205151613955,2708.5636117072904
63055.06012,-748.1133355070101,54.05947179654385,4043.125334202804,4112.1111922377395
63055.0765372,-742.0098467557874,36.62093250733616,4369.226018910988,4431.935887364461
63055.087359,-649.5855885229867,0.0,4166.067036191718,4216.405576656496
63055.1041024,-611.2208020867297,-20.05432018258885,3902.745092924682,3950.368629002769
63055.1209054,-776.8869253342028,-63.65066840560809,3454.5746331920445,3541.42493900939
63055.1324466,-284.24819041408546,-47.084056080860776,2811.964460384741,2826.6867652001265
63055.1488801,-187.46429735898272,-33.13322464949462,2182.433192044343,2190.7202722157
63055.1653723,-265.065797195957,-34.87707857841539,1495.35474404956,1519.0661927660751
63055.17644,-1146.583958265406,-30.517443756113465,609.4769481578089,1298.8642107859966
63055.1930543,-2270.497815454842,51.443690903162704,-263.3219432670362,2286.2950879370055
63055.2099845,-1552.029996739485,41.85249429409847,360.1058363221389,1593.8083182776622
63055.2265102,894.5970655363548,-291.2236061297685,2865.1520052168244,3015.660974219661
